id|name|lat|lon|address|price-from|price-to|readyDate|type|class|car-distance|car-time|description|developer|site
1|"@VERANDA"|"54.95652574258758"|"37.47917175292969"|""|"null"|"null"|"null"|"КП"|"null"|"100"|"1:21"|""|""|""
2|"100 домов"|"56.06930460941198"|"38.56794823868404"|""|"null"|"null"|"null"|"КП"|"null"|"81"|"1:29"|""|""|""
3|"7 Миля"|"55.77319707855933"|"37.19574709416497"|""|"null"|"null"|"null"|"КП"|"null"|"37"|"0:44"|""|""|""
4|"7 Хиллс"|"55.73857488570988"|"37.1460472899048"|""|"null"|"null"|"null"|"КП"|"null"|"40"|"0:46"|""|""|""
5|"Аборино-люкс"|"55.86859230911739"|"38.26758393459477"|""|"null"|"null"|"null"|"КП"|"null"|"50"|"1:1"|""|""|""
6|"Абрамцево 3"|"56.24481582712812"|"37.93483816329342"|""|"null"|"null"|"null"|"КП"|"null"|"76"|"1:13"|""|""|""
7|"Авиатор"|"55.354097467545365"|"38.270527953869646"|""|"null"|"null"|"null"|"КП"|"null"|"68"|"1:18"|""|""|""
8|"Аврора"|"55.65837752109477"|"38.380391235119646"|""|"null"|"null"|"null"|"КП"|"null"|"57"|"1:12"|""|""|""
9|"Аврора"|"56.02565814308975"|"37.63495445251465"|""|"null"|"null"|"null"|"КП"|"null"|"51"|"1:2"|""|""|""
10|"Австрийский дворик"|"56.25406069207133"|"37.49534738197019"|""|"null"|"null"|"null"|"КП"|"null"|"66"|"1:10"|""|""|""
11|"Адамово поместье"|"55.6763853662596"|"38.10109817481691"|""|"null"|"null"|"null"|"КП"|"null"|"38"|"0:53"|""|""|""
12|"Адамово Поместье-2"|"55.673868638801174"|"38.09886657691652"|""|"null"|"null"|"null"|"КП"|"null"|"38"|"0:54"|""|""|""
13|"АдмиралЪ"|"56.120458543734856"|"37.54654206112059"|""|"null"|"null"|"null"|"КП"|"null"|"51"|"1:1"|""|""|""
14|"Азарово"|"55.66889730642447"|"37.08979438045651"|""|"null"|"null"|"null"|"КП"|"null"|"43"|"0:46"|""|""|""
15|"Аисты"|"55.854311475297216"|"36.96521759033203"|""|"null"|"null"|"null"|"КП"|"null"|"60"|"0:54"|""|""|""
