id,name,address,lat,lon
1,"@VERANDA","",54.95652574258758,37.47917175292969
2,"100 домов","",56.06930460941198,38.56794823868404
3,"7 Миля","",55.77319707855933,37.19574709416497
4,"7 Хиллс","",55.73857488570988,37.1460472899048
5,"Аборино-люкс","",55.86859230911739,38.26758393459477
6,"Абрамцево 3","",56.24481582712812,37.93483816329342
7,"Авиатор","",55.354097467545365,38.270527953869646
8,"Аврора","",55.65837752109477,38.380391235119646
9,"Аврора","",56.02565814308975,37.63495445251465
10,"Австрийский дворик","",56.25406069207133,37.49534738197019
11,"Адамово поместье","",55.6763853662596,38.10109817481691
12,"Адамово Поместье-2","",55.673868638801174,38.09886657691652
13,"АдмиралЪ","",56.120458543734856,37.54654206112059
14,"Азарово","",55.66889730642447,37.08979438045651
15,"Аисты","",55.854311475297216,36.96521759033203
16,"Академия Парк","Москва, Троицкий, Первомайское",55.536573,37.158982
17,"Акатовские дачи","",56.11120953545866,36.6019307785034
18,"Аква Вилла","",56.146697043455596,37.52431869506836
19,"Аква Вилладж","",55.84278358562003,35.8655625984253
20,"Аква Форест","",56.216348704040584,37.53855988897703
21,"Акваполис","",56.07011916770015,36.8400764465332
22,"Акварели","",56.05715721961163,37.367164053381316
23,"Акварель","Московская обл, Раменский р-н",55.478113,38.208511
24,"Акватория Истры","",56.06326963124952,36.855789833313
25,"Аксаково","",56.03874628965116,37.61288918331297
26,"Аксеново","",56.07174979606018,37.97913986400147
27,"Акулово","",56.06887351894265,38.994598388671875
28,"Акуловские пруды","",55.17783318516152,36.4476792903198
29,"Акуловские усадьбы","",55.386109430138184,37.05291630067131
30,"Алекс парк","",55.84499603910242,36.91632684260253
31,"Александра","Москва, Новомосковский, Мосрентген",55.620947,37.473815
32,"Александровская Слобода","",56.268764219472175,37.45995053658453
33,"Александровские дворики","",56.36295651800179,38.53644468231198
34,"Александровские сады","",54.68399419736598,37.4721173080444
35,"Александровский","Московская обл, Красногорский р-н, Александровка д",55.751675,37.212495
36,"Александровы пруды","Москва, Троицкий, Щаповское",55.391631,37.380848
37,"Алексеевка","",55.24793338109036,37.21592547440184
38,"Алексеевка","",56.05232999576992,38.16659819569088
39,"Алексино","",55.93398488651286,36.98110556602478
40,"Алешкино","",56.084139464924576,36.55859920426019
41,"Алешкино-2","",56.08326233621857,36.55546945883793
42,"Алешкино-3","",56.08317551900737,36.55565205182495
43,"Алино","",54.63273674030007,37.90179237978509
44,"Альпийская долина","",56.279523998449555,37.532090409045395
45,"Альпийские горки","Московская обл, Солнечногорский р-н, Холмы д",56.098135,37.270895
46,"Альпийские луга","Московская обл, Клинский р-н, Тиликтино д",56.093269,36.602808
47,"Альпийский дворик","",56.25416469542341,37.467825753906254
48,"Альпийский парк","",55.31804150863538,37.08207207713622
49,"Амельфино","Московская обл, Волоколамский р-н",56.007831,35.970359
50,"Американ дрим","",56.28639272361982,37.68662452697754
51,"Аметист","",55.516483726369245,37.02675819396973
52,"Ангелово - Резиденц","",55.8586230498592,37.321672439575195
53,"Английские дачи","",56.202940197047305,36.42100891037603
54,"Английский квартал в Аносино","",55.8340237949967,36.98967933654785
55,"Андреевский Парк","",55.957897522211596,37.13361740112305
56,"Андреевское","",55.37681846539413,36.00468635559082
57,"Андрейково","",56.24601058330185,37.65669618389893
58,"Андрейково Лесное","",56.23690072039095,37.66373430035401
59,"Андрейково Лесное-2","",56.238771097577825,37.65838623046875
60,"Анненский лес","",56.431512612629305,36.9915246963501
61,"Антоновка","",55.573514673362205,37.41542868464967
62,"Антоновка 1","",55.60613352485814,38.52127095396736
63,"Антоновка 2","",55.60945233632322,38.52147906890866
64,"Антоновские усадьбы","",56.47257711137983,37.85965048018795
65,"Анютины глазки","",56.08801358735578,36.58872670972903
66,"Апрелевка парк","Московская обл, Наро-Фоминский р-н, Мартемьяново д",55.52251,37.06695
67,"Апрелевка Таун","",55.521440072103914,37.084007263183594
68,"Апрельская мелодия","",55.545326244905304,37.08364248275757
69,"Аргуново 1","",55.356526191003525,38.47695350646973
70,"Аркашино","",56.270239475533195,39.084205627441406
71,"Арнеево","Московская обл, Серпуховский р-н, Арнеево д",54.970293,37.573393
72,"Арнеевские дачи","Московская обл, Серпуховский р-н, Арнеево д",54.970293,37.573393
73,"Артек","Московская обл, Красногорский р-н, Нефедьево д",55.894253,37.1499
74,"Архангелово","Московская обл, Клинский р-н, Клин",56.331693,36.728716
75,"Архангельская Ривьера","Московская обл, Красногорский р-н, Архангельское п/о",55.789406,37.301204
76,"Архангельский","",55.34476574724636,36.43014618048096
77,"Архангельское","Московская обл, Красногорский р-н, Архангельское п",55.789406,37.301204
78,"Архангельское УПДП","",55.78045880345141,37.30077266693115
79,"Архангельское-Тюриково","",55.91781,37.556421
80,"Архаус","",55.90245830780213,37.26219177246094
81,"Астра - Лесные Усадьбы","",55.5840188091504,36.89374605449825
82,"Аусбург","",56.26462168656126,37.594669349609376
83,"Бавария CLUB","",55.405855057480494,37.2652347663452
84,"Баварская деревня","",56.264853543204865,38.45661163330078
85,"Баден-Баден","",55.52826403665842,37.375603245196544
86,"Бакеево","Московская обл, Солнечногорский р-н, Баранцево д",55.95628,37.122331
87,"Бакеево-2","Московская обл, Солнечногорский р-н, Баранцево д",55.95628,37.122331
88,"Баковка","",55.68092877987664,37.31278028305053
89,"Балакирево","",55.18033795806206,38.2708740234375
90,"Балтия","",55.78238819814344,37.08268618583679
91,"Барбизон","",54.697547132367895,37.17155456542969
92,"Барвиха НПИЗ","",55.734673666236795,37.273006439208984
93,"Барвиха Хиллс","",55.72905364773865,37.28524605560301
94,"Барвиха-2","",55.719109943218534,37.27712631225586
95,"Барвиха-Club","",55.7388997848386,37.276207602349814
96,"Барвиха-Village","",55.73996280328605,37.28006998333126
97,"Барвиха-XXI","",55.709800496733294,37.276465094415244
98,"Барселона","",55.78933785662642,37.114786863327026
99,"Барский луг","",55.443841916248296,37.507041740417435
100,"Барское","",55.88626603532159,36.81528447718506
101,"Барсово","",56.084345453200676,38.30117225646973
102,"Барсуки","Московская обл",55.815792,37.380031
103,"Бегичево","",54.97766292859325,37.64945983886719
104,"Бежин луг","Московская обл, Истринский р-н, Кострово д",55.893778,36.69653
105,"Белаго","",55.466204737413626,38.204612731933594
